source_file,text_file,word_count
SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-09-10_424H.htm,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-09-10_424H.txt,126117
SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-11-06_424H.htm,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-11-06_424H.txt,149207
SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2026-02-11_424H.htm,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2026-02-11_424H.txt,161107
TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2024-04-18_424H.htm,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2024-04-18_424H.txt,139041
TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2024-07-17_424H.htm,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2024-07-17_424H.txt,138978
TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2024-10-07_424H.htm,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2024-10-07_424H.txt,140113
TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-01-15_424H.htm,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-01-15_424H.txt,137674
TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-04-21_424H.htm,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-04-21_424H.txt,149118
TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-07-16_424H.htm,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-07-16_424H.txt,148511
TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-10-08_424H.htm,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2025-10-08_424H.txt,150372
TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2026-01-07_424H.htm,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2026-01-07_424H.txt,145962
TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2026-04-08_424H.htm,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2026-04-08_424H.txt,147583
TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2026-07-08_424H.htm,TOYOTA_AUTO_FINANCE_RECEIVABLES_LLC_2026-07-08_424H.txt,149257
Verizon_ABS_II_LLC_2025-07-22_424H.htm,Verizon_ABS_II_LLC_2025-07-22_424H.txt,135585
Verizon_ABS_II_LLC_2025-08-04_424H.htm,Verizon_ABS_II_LLC_2025-08-04_424H.txt,135972
Verizon_ABS_II_LLC_2025-09-03_424H.htm,Verizon_ABS_II_LLC_2025-09-03_424H.txt,138158
Verizon_ABS_II_LLC_2025-11-13_424H.htm,Verizon_ABS_II_LLC_2025-11-13_424H.txt,138664
Verizon_ABS_II_LLC_2026-03-02_424H.htm,Verizon_ABS_II_LLC_2026-03-02_424H.txt,137530
Verizon_ABS_II_LLC_2026-06-22_424H.htm,Verizon_ABS_II_LLC_2026-06-22_424H.txt,138491
WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-09-17_424H.htm,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-09-17_424H.txt,515875
WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-09-30_424H.htm,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-09-30_424H.txt,530096
WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-11-13_424H.htm,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-11-13_424H.txt,492243
WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-12-01_424H.htm,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-12-01_424H.txt,658700
WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-12-08_424H.htm,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-12-08_424H.txt,570307
WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2026-02-11_424H.htm,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2026-02-11_424H.txt,491029
